title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Missing in Action (1984),22812411,22812411,0,1209,R,NA,November,1984,3.36,6789408.036,61172566.4,Fall
"Oh, God! You Devil! (1984)",21538850,21538850,0,1384,PG,NA,November,1984,3.36,6410372.024,57757451.93,Fall
Teachers (1984),27774237,27774237,0,1721,R,NA,October,1984,3.36,8266141.964,74477939.1,Fall
All of Me (1984),36403064,36403064,0,1200,PG,NA,September,1984,3.36,10834245.24,97616549.6,Fall
Ghostbusters (1984),295212467,242212467,5.30E+07,1506,PG,3.00E+07,June,1984,3.36,72087043.75,649504264.2,Summer
Tightrope (1984),48143579,48143579,0,1535,R,NA,August,1984,3.36,14328446.13,129099299.6,Summer
Red Dawn (1984) (1984),38376497,38376497,0,1822,PG-13,NA,August,1984,3.36,11421576.49,102908404.2,Summer
Purple Rain (1984),NA,NA,0,NA,R,NA,July,1984,3.36,NA,NA,Summer
Star Trek III: The Search for Spock (1984),76471046,76471046,0,1966,PG,NA,June,1984,3.36,22759239.88,205060751.3,Summer
Indiana Jones and the Temple of Doom (1984),NA,NA,0,NA,PG,2.80E+07,May,1984,3.36,NA,NA,Spring
The Natural (1984),47951979,47951979,0,1012,PG,NA,May,1984,3.36,14271422.32,128585515.1,Spring
Breakin' (1984),38682707,38682707,0,1121,PG,NA,May,1984,3.36,11512710.42,103729520.9,Spring
Police Academy (1984),81198894,81198894,0,1587,R,NA,March,1984,3.36,24166337.5,217738700.9,Spring
Friday the 13th: Final Chapter (1984),32980880,32980880,0,1600,R,NA,April,1984,3.36,9815738.095,88439800.24,Spring
Splash (1984),69821334,69821334,0,1186,PG,NA,March,1984,3.36,20780158.93,187229231.9,Spring
Footloose (1984),80035402,80035402,0,1384,PG,8200000,February,1984,3.36,23820060.12,214618741.7,Winter
Unfaithfully Yours (1984) (1984),19928200,19928200,0,831,PG,NA,February,1984,3.36,5931011.905,53438417.26,Winter
Silkwood (1983),35615609,35615609,0,NA,R,NA,December,1983,3.15,11306542.54,101871948.3,Winter
Rocky IV (1985),300473716,127873716,172600000,2254,PG,NA,November,1985,3.55,36020765.07,324547093.3,Fall
The Jewel of the Nile (1985),96773200,75973200,20800000,1490,PG,NA,December,1985,3.55,21400901.41,192822121.7,Winter
Once Bitten (1985),1.00E+07,1.00E+07,0,1095,PG-13,NA,November,1985,3.55,2816901.408,25380281.69,Fall
Death Wish 3 (1985),16116878,16116878,0,1460,R,NA,November,1985,3.55,4539965.634,40905090.36,Fall
Jagged Edge (1985),40491165,40491165,0,1139,R,NA,October,1985,3.55,11405961.97,102767717.4,Fall
Commando (1985),57491000,35100000,22391000,1504,R,NA,October,1985,3.55,9887323.944,89084788.73,Fall
Invasion U.S.A. (1985),17536256,17536256,0,1735,R,NA,September,1985,3.55,4939790.423,44507511.71,Fall
Back to the Future (1985),381109762,210609762,170500000,1550,PG,1.90E+07,July,1985,3.55,59326693.52,534533508.6,Summer
European Vacation (1985),49364621,49364621,0,1547,PG-13,NA,July,1985,3.55,13905527.04,125288798.7,Summer
Pale Rider (1985),41410568,41410568,0,1710,R,NA,June,1985,3.55,11664948.73,105101188.1,Summer
Cocoon (1985),85313124,76113124,9200000,1163,PG-13,NA,June,1985,3.55,21440316.62,193177252.7,Summer
Rambo: First Blood Part II (1985),300400432,150415432,149985000,2074,R,NA,May,1985,3.55,42370544.23,381758603.5,Spring
Code of Silence (1985),20345361,20345361,0,1810,R,NA,May,1985,3.55,5731087.606,51637099.33,Spring
Stick (1985),8489518,8489518,0,1173,R,NA,April,1985,3.55,2391413.521,21546635.83,Spring
Police Academy 2: Their First Assignment (1985),55600000,55600000,0,1613,PG-13,NA,March,1985,3.55,15661971.83,141114366.2,Spring
Friday the 13th,21930418,21930418,0,1759,R,NA,March,1985,3.55,6177582.535,55660018.64,Spring
Witness (1985),68706993,68706993,0,1169,R,NA,February,1985,3.55,19354082.54,174380283.6,Winter
The Golden Child (1986),79817937,79817937,0,1714,PG-13,NA,December,1986,3.71,21514268.73,193843561.3,Winter
Star Trek IV: The Voyage Home (1986),109713132,109713132,0,1956,PG,NA,November,1986,3.71,29572272.78,266446177.7,Fall
Crocodile Dundee (1986),328203506,174803506,153400000,1495,PG-13,NA,September,1986,3.71,47116847.98,424522800.3,Fall
Top Gun (1986),NA,NA,0,NA,PG,NA,May,1986,3.71,NA,NA,Spring
Stand by Me (1986),52287414,52287414,0,NA,R,NA,August,1986,3.71,14093642.59,126983719.7,Summer
The Fly (1986),NA,NA,0,NA,R,NA,August,1986,3.71,NA,NA,Summer
Aliens (1986),NA,NA,0,NA,R,NA,July,1986,3.71,NA,NA,Summer
The Karate Kid Part II (1986),115103979,115103979,0,1610,PG,NA,June,1986,3.71,31025331.27,279538234.7,Summer
Back to School (1986),91258000,91258000,0,1751,PG-13,NA,June,1986,3.71,24597843.67,221626571.4,Summer
Cobra (1986),49042224,49042224,0,2131,R,NA,May,1986,3.71,13218928.3,119102544,Spring
Short Circuit (1986),40697761,40697761,0,1310,PG,NA,May,1986,3.71,10969746.9,98837419.57,Spring
"Jo Jo Dancer, Your Life is Calling (1986)",18034150,18034150,0,1203,R,NA,May,1986,3.71,4860956.873,43797221.43,Spring
Legend (1986),15502112,15502112,0,1187,PG,NA,April,1986,3.71,4178466.846,37647986.29,Spring
