title,widest_opening,rating,budget,gross_adj,season
The Mummy (1999),3411,PG-13,8.00E+07,275595127.3,Spring
Entrapment (1999),2879,PG-13,6.60E+07,155554450.4,Spring
The Matrix (1999),NA,R,6.30E+07,NA,Spring
Life (1999),2613,R,8.00E+07,113309669.5,Spring
Forces of Nature (1999),2335,PG-13,7.50E+07,93803642.09,Spring
Analyze This (1999),2537,R,8.00E+07,189574759.6,Spring
8MM (1999),2370,R,4.00E+07,65026863.81,Winter
Message in a Bottle (1999),2545,PG-13,8.00E+07,93789162.24,Winter
Payback (1999),2855,R,9.00E+07,144596525.6,Winter
She's All That (1999),2654,PG-13,1.00E+07,112389088.8,Winter
Varsity Blues (1999),2364,R,1.60E+07,93814264.31,Winter
A Civil Action (1998),NA,PG-13,7.50E+07,108946040.3,Winter
Cast Away (2000),3061,PG-13,9.00E+07,390542782.8,Winter
What Women Want (2000),3092,PG-13,7.00E+07,305590627.1,Winter
How the Grinch Stole Christmas (2000),3256,PG,1.23E+08,434694596.2,Fall
Charlie's Angels (2000),3037,PG-13,9.30E+07,209462515.9,Fall
Meet the Parents (2000),2697,PG-13,5.50E+07,277895889.7,Fall
Remember the Titans (2000),2803,PG,3.00E+07,193330112.5,Fall
The Exorcist Director's Cut (2000),1708,R,1.10E+07,389329196,Fall
The Watcher (2000),2777,R,3.00E+07,48387569.79,Fall
Bring It On (2000),2466,PG-13,1.10E+07,114303300.6,Summer
The Cell (2000),2476,R,3.30E+07,102526877.8,Summer
Hollow Man (2000),2956,R,9.50E+07,122377765,Summer
The Nutty Professor II: The Klumps (2000),3251,PG-13,8.40E+07,206126550.8,Summer
What Lies Beneath (2000),2925,PG-13,1.00E+08,259876401.2,Summer
X-Men (2000),3112,PG-13,7.50E+07,262944424.9,Summer
Scary Movie (2000),3301,R,1.90E+07,262476463.2,Summer
The Perfect Storm (2000),3407,PG-13,1.40E+08,305267549.2,Summer
"Me, Myself and Irene (2000)",3087,R,5.10E+07,151399759,Summer
Shaft (2000),2433,R,4.60E+07,117571737.4,Summer
Gone in 60 Seconds (2000),3089,PG-13,9.00E+07,169917184.5,Summer
Mission: Impossible II (2000),3669,PG-13,1.25E+08,360082207.8,Spring
Dinosaur (2000),3319,PG,127500000,230261604.4,Spring
Gladiator (2000),3188,R,1.03E+08,313771038.5,Spring
U-571 (2000),2820,PG-13,6.20E+07,128918916.4,Spring
Rules of Engagement (2000),3220,R,6.00E+07,102528835.3,Spring
Erin Brockovich (2000),3070,R,5.20E+07,209946715.6,Spring
Mission to Mars (2000),3101,PG,1.00E+08,101773561.6,Spring
The Whole Nine Yards (2000),2910,R,41300000,95720789.04,Winter
Scream 3 (2000),3467,R,4.00E+07,149012988.3,Winter
Eye of the Beholder (2000),1751,R,3.50E+07,27582946.54,Winter
Next Friday (2000),1420,R,1.10E+07,95831301.12,Winter
The Lord of the Rings: The Fellowship of the Ring (2001),NA,PG-13,9.30E+07,NA,Winter
Vanilla Sky (2001),2842,R,6.80E+07,160171604.1,Winter
Ocean's Eleven (2001),3075,PG-13,8.50E+07,291976770.6,Winter
Harry Potter and the Sorcerer's Stone (2001),NA,PG,1.25E+08,NA,Fall
"Monsters, Inc. (2001)",3649,G,1.15E+08,461509799.7,Fall
K-PAX (2001),2581,PG-13,6.80E+07,80132464.64,Fall
From Hell (2001),2334,R,3.50E+07,50307264.96,Fall
Training Day (2001),2712,R,NA,121988247.7,Fall
Don't Say a Word (2001),2842,R,5.00E+07,87555617.39,Fall
Hardball (2001),2314,PG-13,3.20E+07,64029467.9,Fall
The Musketeer (2001),2500,PG-13,4.00E+07,43097790.88,Fall
Jeepers Creepers (2001),2944,R,1.00E+07,60338624.87,Summer
American Pie 2 (2001),3157,R,3.00E+07,230986464.8,Summer
Rush Hour 2 (2001),3118,PG-13,9.00E+07,360024773.3,Summer
Planet of the Apes (2001) (2001),3530,PG-13,1.00E+08,286555791.1,Summer
Jurassic Park III (2001),3462,PG-13,9.30E+07,288402578.4,Summer
Legally Blonde (2001),2725,PG-13,1.80E+07,153648634.8,Summer
Cats & Dogs (2001),3040,PG,6.00E+07,148657860.5,Summer
A.I. Artificial Intelligence (2001),3242,PG-13,1.00E+08,125147768.2,Summer
The Fast and the Furious (2001),2899,PG-13,3.80E+07,230079622.7,Summer
Lara Croft: Tomb Raider (2001),3349,PG-13,1.15E+08,208802881.7,Summer
Swordfish (2001),2688,R,1.02E+08,111069690.9,Summer
Pearl Harbor (2001),3255,PG-13,1.40E+08,316054489.7,Spring
Shrek (2001),NA,PG,6.00E+07,NA,Spring
The Mummy Returns (2001),3553,PG-13,9.80E+07,321589799.1,Spring
Driven (2001),2905,PG-13,9.40E+07,52086181.21,Spring
Bridget Jones's Diary (2001),2547,R,2.50E+07,113888034.9,Spring
Spy Kids (2001),3191,PG,3.50E+07,179434310.8,Spring
Heartbreakers (2001),2751,PG-13,3.50E+07,64210747.19,Spring
Exit Wounds (2001),2830,R,5.00E+07,82393105.48,Spring
The Mexican (2001),3162,R,5.70E+07,106408789.3,Spring
Hannibal (2001),3292,R,8.70E+07,262805889.5,Winter
The Wedding Planner (2001),2785,PG-13,3.50E+07,96150479.25,Winter
Save the Last Dance (2001),2570,PG-13,NA,144951170.3,Winter
The Lord of the Rings: The Two Towers (2002),3622,PG-13,9.40E+07,531219930.9,Winter
Die Another Day (2002),3377,PG-13,1.42E+08,249584969.4,Fall
Harry Potter and the Chamber of Secrets (2002),3682,PG,1.00E+08,406665780.9,Fall
8 Mile (2002),2585,R,4.10E+07,181054323.2,Fall
The Santa Clause 2 (2002),3352,G,6.50E+07,215924149.1,Fall
Jackass: The Movie (2002),2532,R,5.00E+06,99645501.05,Fall
The Ring (2002),2927,PG-13,4.80E+07,200248619.3,Fall
Red Dragon (2002),3363,R,7.80E+07,144454489,Fall
Sweet Home Alabama (2002),3313,PG-13,3.00E+07,197294835.8,Fall
Barbershop (2002),2176,PG-13,1.20E+07,117520958,Fall
My Big Fat Greek Wedding (2002),NA,PG,5.00E+06,374416222.7,Spring
Signs (2002),3453,PG-13,7.20E+07,353524848.9,Summer
XXX (2002),3536,PG-13,7.00E+07,220379609.6,Summer
Austin Powers in Goldmember (2002),3613,PG-13,6.30E+07,330792440.6,Summer
Stuart Little 2 (2002),3282,PG,1.20E+08,100733360.1,Summer
Men in Black II (2002),3641,PG-13,1.40E+08,295296629.1,Summer
Mr. Deeds (2002),3239,PG-13,5.00E+07,195852668.2,Summer
Lilo & Stitch (2002),3222,PG,8.00E+07,226094145.5,Summer
Scooby-Doo (2002),3447,PG,8.40E+07,237724684.6,Summer
The Sum of All Fears (2002),3230,PG-13,6.80E+07,184398002.5,Spring
Star Wars: Episode II,NA,PG,1.15E+08,NA,Spring
Spider-Man (2002),3876,PG-13,1.39E+08,626057562.6,Spring
The Scorpion King (2002),3466,PG-13,6.00E+07,141193487.7,Spring
Changing Lanes (2002),2642,R,4.50E+07,103620502.1,Spring
Panic Room (2002),3119,R,4.80E+07,149490530,Spring
Blade II (2002),2707,R,5.40E+07,127703675.4,Spring
Ice Age (2002),3345,PG,5.90E+07,273537094.5,Spring
The Time Machine (2002),2958,PG-13,8.00E+07,88134383.98,Spring
We Were Soldiers (2002),3143,R,7.50E+07,121150721,Spring
Queen of the Damned (2002),2511,R,3.50E+07,47045536.66,Winter
John Q. (2002),2505,PG-13,3.60E+07,111278620.7,Winter
Collateral Damage (2002),2824,R,8.50E+07,62150789.25,Winter
Black Hawk Down (2001),NA,R,9.20E+07,172939062.3,Winter
The Lord of the Rings: The Return of the King (2003),3703,PG-13,9.40E+07,564575722.1,Winter
The Last Samurai (2003),2938,R,1.40E+08,166045877.2,Winter
The Haunted Mansion (2003),3122,PG,9.00E+07,113330657.8,Fall
The Cat in the Hat (2003),3467,PG,1.09E+08,151136825.5,Fall
Master and Commander: The Far Side of the World (2003),3101,PG-13,1.50E+08,140346693.1,Fall
The Matrix Revolutions (2003),3502,R,1.50E+08,208162300.4,Fall
Scary Movie 3 (2003),3505,PG-13,4.80E+07,164366332.5,Fall
The Texas Chainsaw Massacre (2003),3018,R,9500000,120389819.5,Fall
Kill Bill Vol. 1 (2003),3102,R,3.00E+07,104741690.8,Fall
School of Rock (2003),2951,PG-13,3.50E+07,121420100.3,Fall
The Rundown (2003),3154,PG-13,8.50E+07,71312494.43,Fall
Underworld (2003),2928,R,2.20E+07,77654380.91,Fall
Once Upon a Time in Mexico (2003),3289,R,2.90E+07,84212540.27,Fall
Jeepers Creepers 2 (2003),3124,R,1.70E+07,53293803.35,Summer
Freddy Vs. Jason (2003),3014,R,3.00E+07,123454414.9,Summer
S.W.A.T. (2003),3220,PG-13,8.00E+07,174723249.8,Summer
American Wedding (2003),3175,R,5.50E+07,156240742.5,Summer
Spy Kids 3D: Game Over (2003),3388,PG,3.80E+07,166994271.6,Summer
Bad Boys II (2003),3202,R,1.30E+08,207108139.4,Summer
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3416,PG-13,1.40E+08,456348159.4,Summer
Terminator 3: Rise of the Machines (2003),3504,R,2.00E+08,224683867.2,Summer
Charlie's Angels: Full Throttle (2003),3485,PG-13,1.20E+08,150659917.1,Summer
Hulk (2003),3674,PG-13,1.37E+08,197498653.1,Summer
Finding Nemo (2003),3425,G,9.40E+07,569054358.5,Spring
Bruce Almighty (2003),3549,PG-13,8.10E+07,362834434.8,Spring
The Matrix Reloaded (2003),3603,R,1.50E+08,420730333.9,Spring
X2: X-Men United (2003),3749,PG-13,1.10E+08,321176906,Spring
Identity (2003),2733,R,2.80E+07,77936553.79,Spring
Anger Management (2003),3656,PG-13,7.50E+07,202681403.9,Spring
Phone Booth (2003),2489,R,1.30E+07,69579033.19,Spring
Head of State (2003),2256,PG-13,35200000,56966579.68,Spring
Bringing Down the House (2003),2910,PG-13,3.30E+07,198304686.5,Spring
Cradle 2 the Grave (2003),2625,R,2.50E+07,51867039.22,Winter
Old School (2003),2742,R,2.40E+07,112938920.1,Winter
Daredevil (2003),3474,PG-13,7.80E+07,153220082.5,Winter
How to Lose a Guy in 10 Days (2003),2923,PG-13,NA,158105885.7,Winter
The Recruit (2003),2376,PG-13,NA,78896729.92,Winter
Darkness Falls (2003),2865,PG-13,1.10E+07,48638155.55,Winter
Kangaroo Jack (2003),2848,PG,6.00E+07,100013933.1,Winter
Just Married (2003),2769,PG-13,1.80E+07,83864963.45,Winter
Meet the Fockers (2004),3554,PG-13,8.00E+07,405176014.8,Winter
Lemony Snicket's A Series of Unfortunate Events (2004),3623,PG,1.40E+08,172125166.9,Winter
Ocean's Twelve (2004),3290,PG-13,1.10E+08,182150396.6,Winter
National Treasure (2004),3243,PG,1.00E+08,251016124.8,Fall
The Incredibles (2004),3933,PG,9.20E+07,379321133.5,Fall
The Grudge (2004),3348,PG-13,1.00E+07,160118816.7,Fall
Shark Tale (2004),NA,PG,7.50E+07,NA,Fall
The Forgotten (2004),3144,PG-13,4.20E+07,97403046.07,Fall
Sky Captain and the World of Tomorrow (2004),3170,PG,7.00E+07,54789326.86,Fall
Resident Evil: Apocalypse (2004),3284,R,4.50E+07,74287454.35,Fall
Hero (2004),2175,PG-13,3.10E+07,77927096.81,Summer
Exorcist: The Beginning (2004),2813,R,8.00E+07,60678920.11,Summer
Alien Vs. Predator (2004),3401,PG-13,6.00E+07,116480338.4,Summer
Collateral (2004),3205,R,6.50E+07,146547726.9,Summer
The Village (2004),3733,PG-13,6.00E+07,165687545.1,Summer
The Bourne Supremacy (2004),3304,PG-13,7.50E+07,255706906.3,Summer
"I, Robot (2004)",3494,PG-13,1.20E+08,210089729,Summer
Spider-Man 2 (2004),4166,PG-13,2.00E+08,542030319.4,Summer
DodgeBall: A True Underdog Story (2004),3020,PG-13,2.00E+07,165875022.8,Summer
Harry Potter and the Prisoner of Azkaban (2004),NA,PG,1.30E+08,NA,Summer
Shrek 2 (2004),4223,PG,1.50E+08,640168838.2,Spring
Troy (2004),3411,R,1.75E+08,193516600.1,Spring
Van Helsing (2004),3580,PG-13,1.60E+08,174363208.8,Spring
Mean Girls (2004),3054,PG-13,1.70E+07,124860398.6,Spring
Man on Fire (2004),2986,R,7.00E+07,113041076.3,Spring
Kill Bill Vol. 2 (2004),3073,R,3.00E+07,96060503.84,Spring
The Passion of the Christ (2004),3408,R,3.00E+07,537963639.2,Winter
Hellboy (2004),3043,PG-13,6.60E+07,86507546.15,Spring
Scooby-Doo 2: Monsters Unleashed (2004),3312,PG,NA,122188996,Spring
Dawn of the Dead (2004),2748,R,2.60E+07,85632660.64,Spring
50 First Dates (2004),3612,PG-13,7.50E+07,175423791.7,Winter
Barbershop 2: Back in Business (2004),2711,PG-13,3.00E+07,94469018.64,Winter
You Got Served (2004),1943,PG-13,8.00E+06,58563273.45,Winter
The Butterfly Effect (2004),2605,R,1.30E+07,84062419.31,Winter
Along Came Polly (2004),3052,PG-13,4.20E+07,127818912.7,Winter
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",3853,PG,1.80E+08,410033654.1,Winter
King Kong (2005),NA,PG-13,2.07E+08,NA,Winter
Harry Potter and the Goblet of Fire (2005),NA,PG-13,1.50E+08,NA,Fall
Chicken Little (2005),3658,G,1.50E+08,190301692.9,Fall
Saw II (2005),2949,R,4.00E+06,122344787,Fall
Doom (2005),3044,R,6.00E+07,39655718.62,Fall
The Fog (2005) (2005),2972,PG-13,1.80E+07,41537180.92,Fall
Wallace and Gromit: The Curse of the Were-Rabbit (2005),3656,G,3.00E+07,78870387.2,Fall
Flightplan (2005),3424,PG-13,NA,126094034.9,Fall
Just Like Heaven (2005),3543,PG-13,5.80E+07,67916747.47,Fall
The Exorcism of Emily Rose (2005),3045,PG-13,1.90E+07,105523059.4,Fall
Transporter 2 (2005),3320,PG-13,3.20E+07,60576234.41,Fall
The 40-Year-Old Virgin (2005),3006,R,2.60E+07,153843623.3,Summer
Four Brothers (2005),2649,R,4.50E+07,104710510.6,Summer
The Dukes of Hazzard (2005),3785,PG-13,5.00E+07,112829133.4,Summer
Wedding Crashers (2005),3131,R,4.00E+07,294133517.7,Summer
Charlie and the Chocolate Factory (2005),3790,PG,1.50E+08,290202227,Summer
Fantastic Four (2005) (2005),3619,PG-13,1.00E+08,217443319.9,Summer
War of the Worlds (2005),3910,PG-13,1.32E+08,329308266.7,Summer
Batman Begins (2005),3858,PG-13,1.50E+08,290755134.5,Summer
Mr. & Mrs. Smith (2005),3451,PG-13,1.10E+08,261917297,Summer
Madagascar (2005),4142,PG,NA,272121005.3,Spring
Star Wars: Episode III,NA,PG-13,1.13E+08,NA,Spring
Kingdom of Heaven (2005),3219,R,1.30E+08,66623978.34,Spring
The Hitchhiker's Guide to the Galaxy (2005),3133,PG,5.00E+07,71806489.57,Spring
The Interpreter (2005),2814,PG-13,8.00E+07,102199770.8,Spring
The Amityville Horror (2005) (2005),3323,R,1.90E+07,91693081.85,Spring
Sahara (2005),3200,PG-13,1.30E+08,96526371.96,Spring
Sin City (2005),3230,R,4.00E+07,104161531.7,Spring
Guess Who (2005),3147,PG-13,NA,96869290.31,Spring
The Ring Two (2005),3341,PG-13,NA,107151880.4,Spring
Robots (2005),3776,PG,7.50E+07,180200016.9,Spring
The Pacifier (2005),3181,PG,5.60E+07,158956736.5,Spring
Tyler Perry's Diary of a Mad Black Woman (2005),1703,PG-13,5500000,71170705.46,Winter
Hitch (2005),3575,PG-13,7.00E+07,252301864.4,Winter
Boogeyman (2005),3052,PG-13,2.00E+07,65715906.68,Winter
Hide and Seek (2005),3005,R,NA,71827672.21,Winter
Are We There Yet? (2005),2810,PG,3.20E+07,116208475.2,Winter
Coach Carter (2005),2574,PG-13,3.00E+07,94548602.46,Winter
Night at the Museum (2006),3768,PG,NA,345080617.5,Winter
The Pursuit of Happyness (2006),3169,PG-13,5.50E+07,224997526,Winter
Apocalypto (2006),2465,R,4.00E+07,69970745.24,Winter
Happy Feet (2006),NA,PG,1.00E+08,NA,Fall
Casino Royale (2006),3443,PG-13,1.50E+08,230334061,Fall
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2611,R,1.80E+07,176769264.4,Fall
Saw III (2006),3167,R,1.00E+07,110374183.7,Fall
The Prestige (2006),2305,PG-13,4.00E+07,73028995.1,Fall
The Departed (2006),3017,R,9.00E+07,182104225.7,Fall
Open Season (2006),3833,PG,8.50E+07,117068455.5,Fall
Jackass: Number Two (2006),3063,R,11500000,100112396.2,Fall
Gridiron Gang (2006),3510,PG-13,3.00E+07,52867135.15,Fall
The Covenant (2006),2681,PG-13,NA,32161566.4,Fall
Invincible (2006),2987,PG,NA,79517654.58,Summer
Talladega Nights: The Ballad of Ricky Bobby (2006),3807,PG-13,72500000,203878248.4,Summer
Miami Vice (2006),3026,R,1.35E+08,87280722.85,Summer
Pirates of the Caribbean: Dead Man's Chest (2006),4133,PG-13,2.25E+08,582301597.9,Summer
Superman Returns (2006),4065,PG-13,2.70E+08,275226189.3,Summer
Click (2006),3764,PG-13,82500000,188942634.1,Summer
Cars (2006),3988,G,1.20E+08,335753842.4,Summer
The Break-Up (2006),3146,PG-13,5.20E+07,163284963,Summer
X-Men: The Last Stand (2006),3714,PG-13,2.10E+08,322382562.2,Spring
The Da Vinci Code (2006),3757,PG-13,1.25E+08,299236733.3,Spring
Mission: Impossible III (2006),4059,PG-13,1.50E+08,184367711,Spring
RV (2006),3651,PG,5.00E+07,98664348.89,Spring
Silent Hill (2006),2932,R,5.00E+07,64628017.45,Spring
Scary Movie 4 (2006),3674,PG-13,4.50E+07,124779036.1,Spring
Ice Age: The Meltdown (2006),3969,PG,8.00E+07,268691434.4,Spring
Inside Man (2006),2867,R,4.50E+07,121756731.3,Spring
V for Vendetta (2006),NA,R,5.40E+07,NA,Spring
Failure to Launch (2006),3202,PG-13,5.00E+07,122034180.1,Spring
16 Blocks (2006),2706,PG-13,NA,50751942.05,Spring
Tyler Perry's Madea's Family Reunion (2006),2194,PG-13,6.00E+06,87015883.88,Winter
Eight Below (2006),3122,PG,4.00E+07,112264001.6,Winter
Final Destination 3 (2006),2880,R,2.50E+07,74415792.29,Winter
When a Stranger Calls (2006),3004,PG-13,1.50E+07,65835195.14,Winter
Big Momma's House 2 (2006),3261,PG-13,4.00E+07,96518382.86,Winter
Underworld: Evolution (2006),3207,R,NA,85724131.87,Winter
Glory Road (2006),2397,PG,NA,58664658.85,Winter
Hostel (2006),2337,R,4800000,65100995.68,Winter
National Treasure: Book of Secrets (2007),3832,PG,NA,288063470.4,Winter
I Am Legend (2007),3648,PG-13,1.50E+08,335770497.1,Winter
The Golden Compass (2007),3528,PG-13,1.80E+08,91812591.47,Winter
Enchanted (2007),3730,PG,8.50E+07,167375498.6,Fall
Beowulf (2007),3249,PG-13,1.50E+08,107754072.2,Fall
Bee Movie (2007),3984,PG,1.50E+08,165835436.9,Fall
American Gangster (2007),3110,R,1.00E+08,170462711,Fall
Saw IV (2007),3183,R,NA,82897362.78,Fall
30 Days of Night (2007),2859,R,3.00E+07,51819281.1,Fall
Tyler Perry's Why Did I Get Married? (2007),2034,PG-13,NA,72295460.79,Fall
The Game Plan (2007),3342,PG,NA,118712252.9,Fall
Resident Evil: Extinction (2007),2848,R,NA,66329156.66,Fall
The Brave One (2007),2837,R,NA,48184909.02,Fall
3:10 to Yuma (2007) (2007),3006,R,5.50E+07,70203243.19,Fall
Halloween (2007) (2007),3475,R,NA,76312642.63,Summer
Superbad (2007),3069,R,2.00E+07,159067393.4,Summer
Rush Hour 3 (2007),3778,PG-13,1.40E+08,183507990.1,Summer
The Bourne Ultimatum (2007),3701,PG-13,1.10E+08,297894526.3,Summer
The Simpsons Movie (2007),3926,PG-13,7.50E+07,239832336.6,Summer
I Now Pronounce You Chuck and Larry (2007),3501,PG-13,8.50E+07,157229156.9,Summer
Harry Potter and the Order of the Phoenix (2007),NA,PG-13,1.50E+08,NA,Summer
Transformers (2007),4050,PG-13,1.50E+08,418082587.1,Summer
Evan Almighty (2007),3636,PG,1.75E+08,131564724.6,Summer
Fantastic Four: Rise of the Silver Surfer (2007),3963,PG,1.30E+08,172763787.7,Summer
Ocean's Thirteen (2007),3565,PG-13,NA,153425009.2,Summer
Pirates of the Caribbean: At World's End (2007),4362,PG-13,3.00E+08,405214829.8,Spring
Shrek the Third (2007),4172,PG,1.60E+08,422631787.1,Spring
Spider-Man 3 (2007),4324,PG-13,2.58E+08,440717736.9,Spring
Disturbia (2007),3132,PG-13,2.00E+07,105042053,Spring
Blades of Glory (2007),3467,PG-13,6.10E+07,155310592.7,Spring
TMNT (2007),3120,PG,3.40E+07,70913280.96,Spring
300 (2007),3280,R,6.50E+07,275819854.7,Spring
Wild Hogs (2007),3401,PG-13,NA,220369867.1,Spring
Ghost Rider (2007),3620,PG-13,1.10E+08,151654271.8,Winter
Norbit (2007),3145,PG-13,6.00E+07,125293488.2,Winter
The Messengers (2007),2529,PG-13,1.60E+07,46326634.5,Winter
Epic Movie (2007),2840,PG-13,NA,52042397.77,Winter
Stomp the Yard (2007),2169,PG-13,1.30E+07,80351678.95,Winter
Marley and Me (2008),3505,PG,NA,179640013.4,Winter
Yes Man (2008),3434,PG-13,7.00E+07,122589929.5,Winter
The Day the Earth Stood Still (2008) (2008),3560,PG-13,8.00E+07,99595608.88,Winter
Four Christmases (2008),3540,PG-13,8.00E+07,150768220.1,Fall
Twilight (2008),3649,PG-13,3.70E+07,241902003.4,Fall
Quantum of Solace (2008),3501,PG-13,2.00E+08,211281271.2,Fall
Madagascar: Escape 2 Africa (2008),4065,PG,1.50E+08,225891178.2,Fall
High School Musical 3: Senior Year (2008),3626,G,1.10E+07,113640715.6,Fall
Max Payne (2008),3381,PG-13,3.50E+07,51060087.87,Fall
Beverly Hills Chihuahua (2008),3239,PG,NA,118603727.3,Fall
Eagle Eye (2008),3614,PG-13,8.00E+07,127295417.1,Fall
Lakeview Terrace (2008),2574,PG-13,2.00E+07,49270778.42,Fall
Burn After Reading (2008),2657,R,3.70E+07,75738395.05,Fall
Bangkok Dangerous (2008),2654,R,4.50E+07,19197239.32,Fall
Tropic Thunder (2008),3473,R,9.20E+07,138682864.9,Summer
The Dark Knight (2008),4366,PG-13,1.85E+08,671651620.8,Summer
Hellboy II: The Golden Army (2008),3212,PG-13,8.50E+07,95353536.49,Summer
Hancock (2008),3965,PG-13,1.50E+08,286044001.2,Summer
WALL-E (2008),3992,G,1.80E+08,280851191.9,Summer
Get Smart (2008),3915,PG-13,8.00E+07,163534270.8,Summer
The Incredible Hulk (2008),3508,PG-13,1.50E+08,169165778,Summer
Kung Fu Panda (2008),NA,PG,1.30E+08,NA,Summer
Sex and the City (2008),NA,R,6.50E+07,NA,Spring
Indiana Jones and the Kingdom of the Crystal Skull (2008),4264,PG-13,1.85E+08,397922156.3,Spring
The Chronicles of Narnia: Prince Caspian (2008),3929,PG,2.25E+08,177717218,Spring
Iron Man (2008),4154,PG-13,1.40E+08,399567274.4,Spring
Baby Mama (2008),2627,PG-13,3.00E+07,75912653.22,Spring
The Forbidden Kingdom (2008),3151,PG-13,NA,65347936.31,Spring
Prom Night (2008) (2008),2821,PG-13,2.00E+07,55050535.31,Spring
21 (2008),2952,PG-13,3.50E+07,101844829.9,Spring
Dr. Seuss' Horton Hears a Who! (2008),3961,G,8.50E+07,193915076,Spring
"10,000 B.C. (2008)",3454,PG-13,1.05E+08,118942291.2,Spring
Semi-Pro (2008),3121,R,NA,42012824.37,Winter
Vantage Point (2008),3163,PG-13,4.00E+07,90685155.58,Winter
Jumper (2008),3430,PG-13,8.50E+07,100605971.2,Winter
Fool's Gold (2008),3125,PG-13,7.00E+07,88131153.12,Winter
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour (2008),687,G,NA,81920452.2,Winter
Rambo (2008),2764,R,5.00E+07,53651042.63,Winter
Cloverfield (2008),3411,PG-13,2.50E+07,100450749.5,Winter
The Bucket List (2007),NA,PG-13,4.50E+07,122403078.9,Winter
Avatar (2009),3461,PG-13,2.37E+08,913623160.2,Winter
The Princess and the Frog (2009),NA,G,1.05E+08,125420280,Fall
The Blind Side (2009),3407,PG-13,2.90E+07,307492649.3,Fall
The Twilight Saga: New Moon (2009),4124,PG-13,5.00E+07,356343859,Fall
2012 (2009),3444,PG-13,2.00E+08,199556083.3,Fall
A Christmas Carol (2009) (2009),3683,PG,2.00E+08,165610843.4,Fall
Michael Jackson's This Is It (2009),3481,PG,NA,86605340.55,Fall
Paranormal Activity (2009),NA,R,NA,129646463.7,Fall
Where the Wild Things Are (2009),3735,PG,1.00E+08,92783138.36,Fall
Couples Retreat (2009),3074,PG-13,7.00E+07,131191540.6,Fall
Zombieland (2009),3171,R,23600000,90809130.25,Fall
Cloudy with a Chance of Meatballs (2009),3119,PG,1.00E+08,150010823.7,Fall
Tyler Perry's I Can Do Bad All By Myself (2009),NA,PG-13,NA,62149683.76,Fall
The Final Destination (2009),3121,R,4.00E+07,79861876.93,Summer
Inglourious Basterds (2009),NA,R,7.00E+07,NA,Summer
District 9 (2009),3180,R,3.00E+07,138929677,Summer
G.I. Joe: The Rise of Cobra (2009),4007,PG-13,1.75E+08,180442066.3,Summer
Funny People (2009),3008,R,7.50E+07,62295194.06,Summer
G-Force (2009),3697,PG,1.50E+08,143483373,Summer
Harry Potter and the Half-Blood Prince (2009),4455,PG,2.50E+08,362909919.3,Summer
Ice Age: Dawn of the Dinosaurs (2009),4102,PG,9.00E+07,236150544.3,Summer
Transformers: Revenge of the Fallen (2009),4293,PG-13,2.00E+08,483070393.2,Summer
The Hangover (2009),3545,R,3.50E+07,333156766.9,Summer
Up (2009),3886,PG,1.75E+08,351995669,Spring
Night at the Museum: Battle of the Smithsonian (2009),4101,PG,1.50E+08,212928790.2,Spring
Angels & Demons (2009),3527,PG-13,1.50E+08,160228849.7,Spring
Star Trek (2009),4053,PG-13,1.50E+08,309619662.8,Spring
X-Men Origins: Wolverine (2009),4102,PG-13,1.50E+08,216099632.6,Spring
Obsessed (2009),2634,PG-13,2.00E+07,82004988.33,Spring
17 Again (2009),3255,PG-13,NA,77086038.89,Spring
Hannah Montana The Movie (2009),3231,G,NA,95597528.39,Spring
Fast and Furious (2009),3674,PG-13,8.50E+07,186283870.4,Spring
Monsters Vs. Aliens (2009),4136,PG,1.75E+08,238286299.9,Spring
Knowing (2009),3337,PG-13,5.00E+07,96055770.98,Spring
Race to Witch Mountain (2009),3268,PG,NA,80696676.26,Spring
Watchmen (2009),NA,R,1.30E+08,NA,Spring
Tyler Perry's Madea Goes to Jail (2009),NA,PG-13,NA,108730681,Winter
Friday the 13th (2009) (2009),3105,R,1.90E+07,78089092.16,Winter
He's Just Not That Into You (2009),3175,PG-13,NA,112869655.1,Winter
Taken (2009),3184,PG-13,2.50E+07,174194521.5,Winter
Paul Blart: Mall Cop (2009),3206,PG,2.60E+07,175798528.5,Winter
Gran Torino (2008),NA,R,3.30E+07,185841040.5,Winter
Little Fockers (2010),3675,PG-13,1.00E+08,169509732.1,Winter
Tron Legacy (2010),3451,PG,1.70E+08,196487388.4,Winter
The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),3555,PG,1.55E+08,119204869.4,Winter
Tangled (2010),3603,PG,2.60E+08,229328978.9,Fall
Harry Potter and the Deathly Hallows Part 1 (2010),4125,PG-13,NA,338167988.3,Fall
Megamind (2010),3949,PG,1.30E+08,169483756.1,Fall
Saw 3D (2010),2808,R,2.00E+07,52198821.77,Fall
Paranormal Activity 2 (2010),3239,R,3.00E+06,96783737.9,Fall
Jackass 3-D (2010),3139,R,2.00E+07,133870662.2,Fall
The Social Network (2010),2921,PG-13,4.00E+07,110726726.6,Fall
Wall Street: Money Never Sleeps (2010),3597,PG-13,7.00E+07,59923484.18,Fall
